name,category,current_price,original_price,unit,timestamp
"Elektro, kancelária, médiá",Ostatné,"11,99",14.05,1 kus,2026-05-17T22:27:48.454743
"Elektro, kancelária, médiá",Ostatné,20.05,14.05,,2026-05-17T22:27:48.459811
Berlinger Haus,Ostatné,1,,1 kus,2026-05-17T22:27:48.717006
Zastrihávač vlasov HC,Ostatné,15,3505,,2026-05-17T22:27:48.836325
Zastrihávač fúzov BT,Ostatné,14,3206,,2026-05-17T22:27:48.894653
"VartaBatérie Longlife Power, AA",Ostatné,"0,33",24,24 kus,2026-05-17T22:27:49.001544
"Dom, domácnosť",Ostatné,20.05,14.05,,2026-05-17T22:27:49.297724
Teplovzdušná pištoľ PHLGB,Ostatné,1,2000,,2026-05-17T22:27:49.662875
Ponorné čerpadlo PETPS,Ostatné,2,400,,2026-05-17T22:27:49.770501
ParksideSolárna sprcha,Ostatné,1,,1 kus,2026-05-17T22:27:49.815950
ParksideVysokotlakový čistič,Ostatné,21,170,21 balenie,2026-05-17T22:27:49.865617
Vysokotlakový čistič,Ostatné,2,170,,2026-05-17T22:27:49.871307
ParksideLazúra na plot,Ostatné,"3,00",1,1 kus,2026-05-17T22:27:49.922253
ParksideStavebná hadicaprevádzkový tlak:,Ostatné,6,,,2026-05-17T22:27:49.973038
prevádzkový tlak:,Ostatné,6,,,2026-05-17T22:27:49.985629
ParksidePonorné čerpadlo,Ostatné,21,400,21 kus,2026-05-17T22:27:50.026263
Ponorné čerpadlo,Ostatné,2,400,,2026-05-17T22:27:50.032342
ParksideSúprava štetcov,Ostatné,10,,,2026-05-17T22:27:50.078798
ParksideAku vibračná prísavka,Ostatné,11,20,11 kus,2026-05-17T22:27:50.130224
Aku vibračná prísavka,Ostatné,1,20,,2026-05-17T22:27:50.136997
ParksideAku sponkovačka,Ostatné,11,20,11 kus,2026-05-17T22:27:50.232960
Aku sponkovačka,Ostatné,1,20,,2026-05-17T22:27:50.242209
ParksideAku vŕtací skrutkovač,Ostatné,1,,1 balenie,2026-05-17T22:27:50.289605
ParksideAku nožnice na trávnik,Ostatné,1,,1 balenie,2026-05-17T22:27:50.338458
ParksideAku ventilátor,Ostatné,21,20,21 kus,2026-05-17T22:27:50.387553
Aku ventilátor,Ostatné,2,20,,2026-05-17T22:27:50.397644
ParksideZáhradný drvič PEMH,Ostatné,21,2400,21 kus,2026-05-17T22:27:50.446693
Záhradný drvič PEMH,Ostatné,2,2400,,2026-05-17T22:27:50.453115
ParksideAku uhlová brúska,Ostatné,1,,1 balenie,2026-05-17T22:27:50.497773
